# time, angle, voltage, aVel, aAcceleration, goal, limitSensor, lastError
0.000000, 0.100000, 0.000000, 0.000000, 0.000000, 0.200000, 0.000000, 0.000000
0.010000, 0.100000, -4.000000, 0.000000, -0.547132, 0.197500, 0.000000, -0.002500
0.020000, 0.099972, -4.000000, -0.005526, -0.547132, 0.195000, 0.000000, -0.004972
0.030000, 0.099889, -4.000000, -0.011052, -0.547131, 0.192500, 0.000000, -0.007389
0.040000, 0.099750, -4.000000, -0.016578, -0.547131, 0.190000, 0.000000, -0.009750
0.050000, 0.099555, -4.000000, -0.022104, -0.547131, 0.187500, 0.000000, -0.012055
0.060000, 0.099304, -4.000000, -0.027630, -0.547131, 0.185000, 0.000000, -0.014304
0.070000, 0.098997, -4.000000, -0.033156, -0.547131, 0.182500, 0.000000, -0.016497
0.080000, 0.098635, -4.000000, -0.038682, -0.547131, 0.180000, 0.000000, -0.018635
0.090000, 0.098216, -4.000000, -0.044208, -0.547131, 0.177500, 0.000000, -0.020716
0.100000, 0.097742, -4.000000, -0.049734, -0.547131, 0.175000, 0.000000, -0.022742
0.110000, 0.097212, -4.000000, -0.055260, -0.547131, 0.172500, 0.000000, -0.024712
0.120000, 0.096626, -4.000000, -0.060786, -0.547131, 0.170000, 0.000000, -0.026626
0.130000, 0.095985, -4.000000, -0.066312, -0.547131, 0.167500, 0.000000, -0.028485
0.140000, 0.095287, -4.000000, -0.071838, -0.547131, 0.165000, 0.000000, -0.030287
0.150000, 0.094534, -4.000000, -0.077364, -0.547131, 0.162500, 0.000000, -0.032034
0.160000, 0.093725, -4.000000, -0.082890, -0.547131, 0.160000, 0.000000, -0.033725
0.170000, 0.092860, -4.000000, -0.088416, -0.547131, 0.157500, 0.000000, -0.035360
0.180000, 0.091940, -3.951048, -0.093942, -0.540435, 0.155000, 0.000000, -0.036940
0.190000, 0.090964, -3.896910, -0.099401, -0.533030, 0.152500, 0.000000, -0.038464
0.200000, 0.089933, -3.842424, -0.104784, -0.525577, 0.150000, 0.000000, -0.039933
0.210000, 0.088848, -3.787682, -0.110093, -0.518089, 0.147500, 0.000000, -0.041348
0.220000, 0.087710, -3.732714, -0.115325, -0.510570, 0.145000, 0.000000, -0.042710
0.230000, 0.086519, -3.677550, -0.120482, -0.503025, 0.142500, 0.000000, -0.044019
0.240000, 0.085277, -3.622218, -0.125563, -0.495456, 0.140000, 0.000000, -0.045277
0.250000, 0.083984, -3.566745, -0.130567, -0.487868, 0.137500, 0.000000, -0.046484
0.260000, 0.082640, -3.511160, -0.135494, -0.480265, 0.135000, 0.000000, -0.047640
0.270000, 0.081248, -3.455487, -0.140345, -0.472650, 0.132500, 0.000000, -0.048748
0.280000, 0.079806, -3.399753, -0.145119, -0.465026, 0.130000, 0.000000, -0.049806
0.290000, 0.078317, -3.343984, -0.149815, -0.457398, 0.127500, 0.000000, -0.050817
0.300000, 0.076781, -3.288203, -0.154435, -0.449768, 0.125000, 0.000000, -0.051781
0.310000, 0.075198, -3.232435, -0.158978, -0.442140, 0.122500, 0.000000, -0.052698
